Id,Label,0,1,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
kanal,kanal,MORGENMØDE2024,,12,4,0.314491,0.329767,0
etablere,etablere,MORGENMØDE2024,,12,4,0.314491,0.329767,0
direkte,direkte,MORGENMØDE2024,,12,4,0.314491,0.329767,0
beder,beder,MORGENMØDE2024,,12,4,0.314491,0.329767,0
købe,købe,MORGENMØDE2024,,13,5,0.281075,0.293747,0
gangen,gangen,MORGENMØDE2024,,13,5,0.281075,0.293747,0
tænkte,tænkte,MORGENMØDE2024,,13,5,0.281075,0.293747,0
tidspunkt,tidspunkt,MORGENMØDE2024,,13,5,0.281075,0.293747,0
tidskrævende,tidskrævende,MORGENMØDE2024,,13,5,0.281075,0.293747,0
side,side,MORGENMØDE2024,,13,5,0.281075,0.293747,0
licenser,licenser,MORGENMØDE2024,,13,5,0.281075,0.293747,0
fri,fri,MORGENMØDE2024,,10,4,0.367208,0.386234,0
crasher,crasher,MORGENMØDE2024,,10,4,0.363401,0.3835,0
små,små,MORGENMØDE2024,,10,4,0.324087,0.342249,0
støtte,støtte,MORGENMØDE2024,,10,4,0.324087,0.342249,0
potentiale,potentiale,MORGENMØDE2024,,10,4,0.324087,0.342249,0
bringe,bringe,MORGENMØDE2024,,6,4,0.338975,0.354731,0
bare,bare,MORGENMØDE2024,,6,4,0.338975,0.354731,0
løfter,løfter,MORGENMØDE2024,,6,4,0.365294,0.38564,0
slide,slide,MORGENMØDE2024,,7,4,0.32803,0.343557,0
omkring,omkring,MORGENMØDE2024,,5,4,0.40195,0.434974,3086.89754
netop,netop,MORGENMØDE2024,,7,4,0.32803,0.343557,0
andet,andet,MORGENMØDE2024,,7,4,0.360226,0.380409,215.027886
jamen,jamen,MORGENMØDE2024,,0,4,0.340788,0.356633,0
spørge,spørge,MORGENMØDE2024,,0,4,0.340788,0.356633,0
sørge,sørge,MORGENMØDE2024,,14,4,0.334287,0.349025,0
balance,balance,MORGENMØDE2024,,14,4,0.334287,0.349025,0
kigge,kigge,MORGENMØDE2024,,12,3,0.397392,0.426771,2379.149908
nøgletal,nøgletal,MORGENMØDE2024,,3,4,0.366249,0.384451,0
udfordret,udfordret,MORGENMØDE2024,,5,4,0.372081,0.398478,1162.335017
studerendes,studerendes,MORGENMØDE2024,,4,4,0.346344,0.364004,0
oplever,oplever,MORGENMØDE2024,,4,4,0.346344,0.364004,0
kompetencer,kompetencer,MORGENMØDE2024,,4,4,0.390095,0.41417,293.269832
informationskrav,informationskrav,MORGENMØDE2024,,4,4,0.346344,0.364004,0
facilitere,facilitere,MORGENMØDE2024,,1,4,0.345831,0.362221,0
hvert,hvert,MORGENMØDE2024,,1,4,0.345831,0.362221,0
understrege,understrege,MORGENMØDE2024,,10,4,0.368559,0.390751,67.078766
vigtigheden,vigtigheden,MORGENMØDE2024,,1,4,0.356743,0.374703,0
set,set,MORGENMØDE2024,,0,4,0.312389,0.32834,0
servicerer,servicerer,MORGENMØDE2024,,0,4,0.312389,0.32834,0
generelt,generelt,MORGENMØDE2024,,10,4,0.383899,0.410604,1159.483925
herunder,herunder,MORGENMØDE2024,,10,4,0.353505,0.370661,0
helt,helt,MORGENMØDE2024,,17,4,0.360968,0.382786,438.025798
spotte,spotte,MORGENMØDE2024,,14,4,0.352084,0.371374,0
rummer,rummer,MORGENMØDE2024,,14,4,0.352084,0.371374,0
ivers,ivers,MORGENMØDE2024,,14,4,0.352084,0.371374,0
sted,sted,MORGENMØDE2024,,14,5,0.31777,0.334261,0
corona,corona,MORGENMØDE2024,,14,5,0.31777,0.334261,0
læringsrum,læringsrum,MORGENMØDE2024,,14,5,0.31777,0.334261,0
lade,lade,MORGENMØDE2024,,14,5,0.31777,0.334261,0
heldigvis,heldigvis,MORGENMØDE2024,,14,5,0.31777,0.334261,0
altså,altså,MORGENMØDE2024,,4,4,0.355838,0.374346,0
tråd,tråd,MORGENMØDE2024,,15,4,0.331442,0.348193,0
teste,teste,MORGENMØDE2024,,15,4,0.331442,0.348193,0
skalere,skalere,MORGENMØDE2024,,15,4,0.331442,0.348193,0
rød,rød,MORGENMØDE2024,,15,4,0.331442,0.348193,0
projekter,projekter,MORGENMØDE2024,,15,4,0.331442,0.348193,0
virkelig,virkelig,MORGENMØDE2024,,16,4,0.326959,0.342368,0
selvfølgelig,selvfølgelig,MORGENMØDE2024,,16,4,0.326959,0.342368,0
rundt,rundt,MORGENMØDE2024,,5,4,0.349626,0.370423,272.961192
mangefold,mangefold,MORGENMØDE2024,,16,4,0.326959,0.342368,0
