0,51,13,26,12,0.2549019607843137,0.5098039215686274,0.23529411764705882,
1,63,17,30,16,0.2698412698412698,0.47619047619047616,0.25396825396825395,
2,39,9,12,18,0.23076923076923078,0.3076923076923077,0.46153846153846156,
3,56,0,52,4,0.0,0.9285714285714286,0.07142857142857142,
4,61,2,47,12,0.03278688524590164,0.7704918032786885,0.19672131147540983,
5,19,4,13,2,0.21052631578947367,0.6842105263157895,0.10526315789473684,
6,59,16,30,13,0.2711864406779661,0.5084745762711864,0.22033898305084745,
7,39,19,12,8,0.48717948717948717,0.3076923076923077,0.20512820512820512,
8,20,9,6,5,0.45,0.3,0.25,
9,29,6,13,10,0.20689655172413793,0.4482758620689655,0.3448275862068966,
10,62,29,16,17,0.46774193548387094,0.25806451612903225,0.27419354838709675,
11,31,6,13,12,0.1935483870967742,0.41935483870967744,0.3870967741935484,
12,31,2,24,5,0.06451612903225806,0.7741935483870968,0.16129032258064516,
13,8,0,8,0,0.0,1.0,0.0,
14,34,13,18,3,0.38235294117647056,0.5294117647058824,0.08823529411764706,
15,49,20,11,18,0.40816326530612246,0.22448979591836735,0.3673469387755102,
16,33,13,11,9,0.3939393939393939,0.3333333333333333,0.2727272727272727,
17,18,0,16,2,0.0,0.8888888888888888,0.1111111111111111,
